Order_Items_id,Order_id,Product_id,Product_name,Quantity,Sales,Profit,Order_Date,Region,Category,,,,,,,,,,,
127,27,4,Camera,5,3665,406.93,18-03-2023,West,Electronics,,,,,,,,,,,
128,28,1,Printer,2,2372,206.42,09-08-2024,North,Office,,,,,,,,,,,
129,29,10,Laptop,2,1382,211.11,04-05-2024,North,Electronics,,,,,,,,,,,
130,30,10,Laptop,1,1126,194.08,04-09-2022,West,Electronics,,,,,,,,,,,
131,31,1,Printer,8,1376,152.1,21-10-2022,West,Office,,,,,,,,,,,
132,32,2,Mouse,4,988,147.91,22-01-2024,West,Accessories,,,,,,,,,,,
133,33,10,Laptop,9,10773,1907.36,09-04-2023,North,Electronics,,,,,,,,,,,
134,34,5,Headphones,4,3252,713.46,07-02-2023,South,Accessories,,,,,,,,,,,
135,35,5,Headphones,3,2739,202.81,04-05-2023,North,Accessories,,,,,,,,,,,
136,36,3,Tablet,7,2709,702.79,18-04-2023,South,Electronics,,,,,,,,,,,
137,37,1,Printer,3,936,201.24,12-12-2022,West,Office,,,,,,,,,,,
138,38,4,Camera,4,3720,410.92,11-09-2022,West,Electronics,,,,,,,,,,,
139,39,2,Mouse,5,5320,716.91,26-03-2024,West,Accessories,,,,,,,,,,,
140,40,5,Headphones,4,804,121.51,20-09-2023,East,Accessories,,,,,,,,,,,
141,41,10,Laptop,8,1224,246.77,25-05-2023,North,Electronics,,,,,,,,,,,
142,42,5,Headphones,9,8667,781.78,04-12-2022,South,Accessories,,,,,,,,,,,
143,43,7,Monitor,3,3018,320.11,10-06-2022,West,Accessories,,,,,,,,,,,
144,44,10,Laptop,5,4325,1023.39,05-02-2023,West,Electronics,,,,,,,,,,,
145,45,10,Laptop,3,1557,181.08,20-01-2024,South,Electronics,,,,,,,,,,,
146,46,7,Monitor,6,3672,1002.5,27-01-2022,South,Accessories,,,,,,,,,,,
147,47,2,Mouse,1,333,72.34,29-03-2023,West,Accessories,,,,,,,,,,,
148,48,5,Headphones,4,2384,577.26,17-01-2022,West,Accessories,,,,,,,,,,,
149,49,2,Mouse,6,888,210.39,26-11-2024,West,Accessories,,,,,,,,,,,
150,50,10,Laptop,5,3280,954.17,19-09-2024,West,Electronics,,,,,,,,,,,
151,51,2,Mouse,7,1239,177.39,20-07-2023,South,Accessories,,,,,,,,,,,
152,52,5,Headphones,8,5880,436.85,03-05-2024,East,Accessories,,,,,,,,,,,
153,53,8,Smartphone,2,1668,437.3,03-09-2022,West,Electronics,,,,,,,,,,,
154,54,1,Printer,7,4109,1037.64,09-07-2024,West,Office,,,,,,,,,,,
155,55,6,Smartwatch,7,595,148.5,17-11-2022,West,Electronics,,,,,,,,,,,
156,56,5,Headphones,7,8155,1587.91,28-12-2023,East,Accessories,,,,,,,,,,,
157,57,7,Monitor,3,1872,553.1,30-05-2022,South,Accessories,,,,,,,,,,,
158,58,6,Smartwatch,6,2124,126.03,17-04-2024,East,Electronics,,,,,,,,,,,
159,59,7,Monitor,5,5210,1338.8,30-09-2024,West,Accessories,,,,,,,,,,,
160,60,2,Mouse,7,5761,362.48,02-06-2024,South,Accessories,,,,,,,,,,,
161,61,5,Headphones,7,6895,1596.35,26-09-2022,South,Accessories,,,,,,,,,,,
162,62,6,Smartwatch,3,2118,317.08,17-12-2024,East,Electronics,,,,,,,,,,,
163,63,6,Smartwatch,5,830,58.28,09-10-2024,North,Electronics,,,,,,,,,,,
164,64,6,Smartwatch,1,851,93.56,14-07-2023,North,Electronics,,,,,,,,,,,
165,65,3,Tablet,5,4730,1365.63,05-12-2023,East,Electronics,,,,,,,,,,,
166,66,2,Mouse,6,5460,845.75,03-06-2022,West,Accessories,,,,,,,,,,,
167,67,5,Headphones,5,5795,310.6,28-12-2024,East,Accessories,,,,,,,,,,,
168,68,10,Laptop,4,2008,338.44,06-08-2022,South,Electronics,,,,,,,,,,,
169,69,2,Mouse,7,2842,425.24,06-06-2023,South,Accessories,,,,,,,,,,,
170,70,2,Mouse,4,3404,392.22,01-02-2024,East,Accessories,,,,,,,,,,,
171,71,6,Smartwatch,1,1065,228.63,31-05-2023,West,Electronics,,,,,,,,,,,
172,72,3,Tablet,7,2149,121.69,14-06-2024,West,Electronics,,,,,,,,,,,
173,73,9,Keyboard,8,5912,1143.04,14-08-2024,East,Accessories,,,,,,,,,,,
174,74,2,Mouse,3,3348,331.28,01-02-2023,West,Accessories,,,,,,,,,,,
175,75,8,Smartphone,3,2409,531.79,28-04-2024,South,Electronics,,,,,,,,,,,
176,76,3,Tablet,2,328,39.51,05-04-2024,North,Electronics,,,,,,,,,,,
177,77,8,Smartphone,8,6224,1561.42,31-01-2024,West,Electronics,,,,,,,,,,,
178,78,6,Smartwatch,5,2530,486.09,09-01-2024,North,Electronics,,,,,,,,,,,
179,79,5,Headphones,4,4108,462.17,06-04-2022,West,Accessories,,,,,,,,,,,
180,80,1,Printer,5,1640,391.36,22-05-2024,South,Office,,,,,,,,,,,
181,81,10,Laptop,1,111,19.33,30-12-2023,South,Electronics,,,,,,,,,,,
182,82,5,Headphones,1,445,128.89,17-03-2022,North,Accessories,,,,,,,,,,,
183,83,1,Printer,4,3600,623.72,24-05-2022,North,Office,,,,,,,,,,,
184,84,2,Mouse,3,1335,176.44,09-06-2024,North,Accessories,,,,,,,,,,,
185,85,9,Keyboard,5,3090,242.15,01-12-2024,South,Accessories,,,,,,,,,,,
186,86,1,Printer,5,3910,538.52,20-10-2023,East,Office,,,,,,,,,,,
187,87,4,Camera,1,219,32.67,05-03-2024,South,Electronics,,,,,,,,,,,
188,88,8,Smartphone,5,390,27.77,05-12-2022,West,Electronics,,,,,,,,,,,
189,89,10,Laptop,6,3294,359.61,05-08-2022,North,Electronics,,,,,,,,,,,
190,90,9,Keyboard,4,4572,1038.05,21-03-2023,West,Accessories,,,,,,,,,,,
191,91,7,Monitor,7,980,109.94,08-02-2022,South,Accessories,,,,,,,,,,,
192,92,5,Headphones,2,2262,532.12,01-04-2023,North,Accessories,,,,,,,,,,,
193,93,4,Camera,7,7518,1655.91,14-12-2022,South,Electronics,,,,,,,,,,,
194,94,4,Camera,1,873,158.97,14-05-2022,South,Electronics,,,,,,,,,,,
195,95,2,Mouse,6,1512,423.03,16-02-2022,North,Accessories,,,,,,,,,,,
196,96,10,Laptop,1,705,165.16,28-08-2024,West,Electronics,,,,,,,,,,,
197,97,6,Smartwatch,8,3256,533.7,30-10-2023,North,Electronics,,,,,,,,,,,
198,98,3,Tablet,4,556,81.77,24-06-2023,West,Electronics,,,,,,,,,,,
199,99,2,Mouse,9,7101,2105.82,17-05-2023,East,Accessories,,,,,,,,,,,
200,100,10,Laptop,9,8802,1344.96,06-04-2023,West,Electronics,,,,,,,,,,,
201,101,5,Headphones,6,5592,1294.16,26-03-2023,South,Accessories,,,,,,,,,,,
202,102,3,Tablet,2,1852,168.92,12-10-2024,North,Electronics,,,,,,,,,,,
203,103,7,Monitor,1,195,57.88,26-06-2022,East,Accessories,,,,,,,,,,,
204,104,2,Mouse,9,7884,2054.02,15-04-2022,East,Accessories,,,,,,,,,,,
205,105,10,Laptop,5,4360,1160.55,10-12-2023,East,Electronics,,,,,,,,,,,
206,106,2,Mouse,6,4920,929.18,23-09-2024,North,Accessories,,,,,,,,,,,
207,107,2,Mouse,3,3474,565,01-01-2022,East,Accessories,,,,,,,,,,,
208,108,9,Keyboard,1,930,222.5,03-02-2022,West,Accessories,,,,,,,,,,,
209,109,3,Tablet,7,1421,248.02,14-03-2023,South,Electronics,,,,,,,,,,,
210,110,5,Headphones,2,634,161.1,24-08-2022,North,Accessories,,,,,,,,,,,
211,111,4,Camera,1,673,114.42,07-07-2024,East,Electronics,,,,,,,,,,,
212,112,2,Mouse,5,3135,787.7,13-04-2022,South,Accessories,,,,,,,,,,,
213,113,8,Smartphone,6,882,184.48,08-05-2024,East,Electronics,,,,,,,,,,,
214,114,8,Smartphone,4,1192,212.77,10-09-2024,East,Electronics,,,,,,,,,,,
215,115,1,Printer,3,390,112.08,18-06-2024,South,Office,,,,,,,,,,,
216,116,3,Tablet,1,834,95.54,10-09-2024,North,Electronics,,,,,,,,,,,
217,117,8,Smartphone,6,612,83.75,06-05-2022,East,Electronics,,,,,,,,,,,
218,118,5,Headphones,9,8073,710.23,18-06-2024,West,Accessories,,,,,,,,,,,
219,119,9,Keyboard,8,2640,723.88,29-10-2023,North,Accessories,,,,,,,,,,,
220,120,8,Smartphone,3,3234,440.7,13-11-2023,North,Electronics,,,,,,,,,,,
221,121,7,Monitor,5,4435,355.51,21-08-2022,West,Accessories,,,,,,,,,,,
222,122,6,Smartwatch,2,2302,305.07,04-03-2024,North,Electronics,,,,,,,,,,,
223,123,4,Camera,6,1728,307.44,17-04-2022,East,Electronics,,,,,,,,,,,
224,124,10,Laptop,4,228,54.05,20-12-2023,East,Electronics,,,,,,,,,,,
225,125,3,Tablet,6,3450,705.74,19-03-2022,West,Electronics,,,,,,,,,,,
226,126,8,Smartphone,8,7456,1702.48,07-07-2024,South,Electronics,,,,,,,,,,,
227,127,8,Smartphone,6,4728,705.85,30-04-2023,West,Electronics,,,,,,,,,,,
228,128,6,Smartwatch,7,945,124.62,22-03-2024,North,Electronics,,,,,,,,,,,
229,129,10,Laptop,4,296,65.05,08-03-2022,North,Electronics,,,,,,,,,,,
230,130,8,Smartphone,4,640,149.89,15-09-2023,West,Electronics,,,,,,,,,,,
231,131,3,Tablet,1,797,65.27,01-03-2023,North,Electronics,,,,,,,,,,,
232,132,7,Monitor,4,1456,431.89,24-10-2023,North,Accessories,,,,,,,,,,,
233,133,7,Monitor,6,4038,364.11,22-04-2024,South,Accessories,,,,,,,,,,,
234,134,3,Tablet,7,5656,355.81,27-06-2023,West,Electronics,,,,,,,,,,,
235,135,2,Mouse,4,3876,302.37,13-04-2023,West,Accessories,,,,,,,,,,,
236,136,9,Keyboard,6,1002,114.7,19-05-2023,South,Accessories,,,,,,,,,,,
237,137,5,Headphones,9,2187,413.76,15-11-2024,East,Accessories,,,,,,,,,,,
238,138,2,Mouse,6,7146,1627.42,25-12-2023,North,Accessories,,,,,,,,,,,
239,139,9,Keyboard,1,189,14.88,31-03-2022,South,Accessories,,,,,,,,,,,
240,140,7,Monitor,5,940,266.02,24-04-2024,East,Accessories,,,,,,,,,,,
241,141,5,Headphones,1,951,127.58,10-01-2022,North,Accessories,,,,,,,,,,,
242,142,1,Printer,2,124,27.42,17-11-2022,East,Office,,,,,,,,,,,
243,143,2,Mouse,9,7506,594.28,29-06-2024,West,Accessories,,,,,,,,,,,
244,144,7,Monitor,7,8176,2308.76,14-11-2022,West,Accessories,,,,,,,,,,,
245,145,8,Smartphone,5,2125,632.68,11-08-2023,East,Electronics,,,,,,,,,,,
246,146,5,Headphones,1,967,59.98,22-05-2024,North,Accessories,,,,,,,,,,,
247,147,5,Headphones,5,270,29.41,19-03-2022,South,Accessories,,,,,,,,,,,
248,148,9,Keyboard,9,10035,1486.3,23-10-2022,West,Accessories,,,,,,,,,,,
249,149,1,Printer,8,6792,1125.23,26-02-2023,North,Office,,,,,,,,,,,
250,150,1,Printer,1,714,99.13,03-10-2024,East,Office,,,,,,,,,,,
251,151,8,Smartphone,5,765,157.64,17-07-2022,South,Electronics,,,,,,,,,,,
252,152,5,Headphones,7,4221,358.02,04-11-2024,East,Accessories,,,,,,,,,,,
253,153,10,Laptop,4,2108,576.48,24-02-2023,North,Electronics,,,,,,,,,,,
254,154,7,Monitor,9,10530,2387.63,08-08-2024,North,Accessories,,,,,,,,,,,
255,155,9,Keyboard,6,3396,914.17,14-05-2024,South,Accessories,,,,,,,,,,,
256,156,7,Monitor,4,1060,213.05,15-01-2022,North,Accessories,,,,,,,,,,,
257,157,3,Tablet,5,480,73.07,10-05-2022,East,Electronics,,,,,,,,,,,
258,158,5,Headphones,3,2529,285.65,10-03-2022,West,Accessories,,,,,,,,,,,
259,159,6,Smartwatch,8,4792,511.97,23-01-2022,East,Electronics,,,,,,,,,,,
260,160,6,Smartwatch,8,8056,605.8,19-09-2024,East,Electronics,,,,,,,,,,,
261,161,3,Tablet,4,4228,947.76,06-06-2024,North,Electronics,,,,,,,,,,,
262,162,3,Tablet,1,653,93.78,10-10-2024,East,Electronics,,,,,,,,,,,
263,163,3,Tablet,9,7452,1212.51,24-03-2024,North,Electronics,,,,,,,,,,,
264,164,2,Mouse,4,4128,1156.71,21-07-2023,East,Accessories,,,,,,,,,,,
265,165,3,Tablet,5,5090,1201.56,21-07-2022,West,Electronics,,,,,,,,,,,
266,166,4,Camera,5,4930,387.33,01-09-2022,North,Electronics,,,,,,,,,,,
267,167,6,Smartwatch,6,2610,434.37,20-04-2023,South,Electronics,,,,,,,,,,,
268,168,10,Laptop,3,2139,415.84,11-12-2023,North,Electronics,,,,,,,,,,,
269,169,3,Tablet,1,226,55.4,29-09-2024,South,Electronics,,,,,,,,,,,
270,170,6,Smartwatch,2,2244,212.08,20-11-2023,West,Electronics,,,,,,,,,,,
271,171,7,Monitor,6,3150,578.87,15-07-2023,East,Accessories,,,,,,,,,,,
272,172,10,Laptop,7,3388,347.19,24-12-2023,South,Electronics,,,,,,,,,,,
273,173,10,Laptop,8,8736,580.31,13-08-2023,East,Electronics,,,,,,,,,,,
274,174,8,Smartphone,2,1102,176.53,24-04-2022,South,Electronics,,,,,,,,,,,
275,175,7,Monitor,3,2640,199.97,13-07-2024,East,Accessories,,,,,,,,,,,
276,176,1,Printer,3,2547,300.74,11-06-2022,West,Office,,,,,,,,,,,
277,177,10,Laptop,7,728,64.82,28-10-2024,North,Electronics,,,,,,,,,,,
278,178,4,Camera,7,3444,607.44,24-11-2022,South,Electronics,,,,,,,,,,,
279,179,4,Camera,5,3140,853.66,03-10-2024,West,Electronics,,,,,,,,,,,
280,180,8,Smartphone,3,435,129.27,24-03-2024,East,Electronics,,,,,,,,,,,
281,181,9,Keyboard,4,856,72.99,28-06-2024,East,Accessories,,,,,,,,,,,
282,182,1,Printer,2,112,23.33,31-05-2022,North,Office,,,,,,,,,,,
283,183,5,Headphones,3,2247,507.79,25-03-2024,North,Accessories,,,,,,,,,,,
284,184,9,Keyboard,2,1512,298.73,31-01-2023,West,Accessories,,,,,,,,,,,
285,185,2,Mouse,5,4915,1196.6,23-06-2024,South,Accessories,,,,,,,,,,,
286,186,2,Mouse,3,2709,663.54,16-08-2023,South,Accessories,,,,,,,,,,,
287,187,3,Tablet,7,1239,118.36,10-06-2023,North,Electronics,,,,,,,,,,,
288,188,3,Tablet,2,572,86.16,09-05-2023,West,Electronics,,,,,,,,,,,
289,189,6,Smartwatch,2,1708,93.25,08-05-2022,North,Electronics,,,,,,,,,,,
290,190,6,Smartwatch,4,360,42.66,06-11-2024,North,Electronics,,,,,,,,,,,
291,191,4,Camera,6,3822,388.34,08-12-2022,North,Electronics,,,,,,,,,,,
292,192,4,Camera,6,4680,932.97,25-09-2022,North,Electronics,,,,,,,,,,,
293,193,4,Camera,5,2520,487.18,10-07-2024,North,Electronics,,,,,,,,,,,
294,194,6,Smartwatch,2,2138,619.29,29-03-2024,North,Electronics,,,,,,,,,,,
295,195,9,Keyboard,3,2529,169.6,11-01-2022,West,Accessories,,,,,,,,,,,
296,196,9,Keyboard,1,236,29.33,08-04-2022,East,Accessories,,,,,,,,,,,
297,197,3,Tablet,6,2730,636.48,21-01-2024,West,Electronics,,,,,,,,,,,
298,198,5,Headphones,3,3021,872.49,27-04-2023,North,Accessories,,,,,,,,,,,
299,199,6,Smartwatch,2,244,16.78,06-11-2024,North,Electronics,,,,,,,,,,,
300,200,4,Camera,8,728,120.06,11-05-2022,South,Electronics,,,,,,,,,,,
301,201,2,Mouse,3,453,89.49,02-10-2022,North,Accessories,,,,,,,,,,,
302,202,10,Laptop,1,379,84.38,12-01-2022,South,Electronics,,,,,,,,,,,
303,203,3,Tablet,3,2130,510.69,09-01-2023,West,Electronics,,,,,,,,,,,
304,204,7,Monitor,8,4120,710.11,04-05-2023,North,Accessories,,,,,,,,,,,
305,205,6,Smartwatch,7,3150,299.7,07-09-2024,South,Electronics,,,,,,,,,,,
306,206,6,Smartwatch,7,2688,603.07,17-05-2022,East,Electronics,,,,,,,,,,,
307,207,3,Tablet,2,1752,501.19,17-08-2023,East,Electronics,,,,,,,,,,,
308,208,9,Keyboard,7,7308,948.4,07-09-2023,North,Accessories,,,,,,,,,,,
309,209,3,Tablet,3,2007,160.84,11-05-2022,North,Electronics,,,,,,,,,,,
310,210,3,Tablet,7,7224,479.23,12-05-2023,West,Electronics,,,,,,,,,,,
311,211,7,Monitor,9,6939,1249.31,08-05-2023,South,Accessories,,,,,,,,,,,
312,212,8,Smartphone,7,5516,1475.67,18-02-2023,East,Electronics,,,,,,,,,,,
313,213,1,Printer,2,2224,116.47,29-01-2022,South,Office,,,,,,,,,,,
314,214,10,Laptop,5,3985,824.4,12-01-2023,South,Electronics,,,,,,,,,,,
315,215,4,Camera,7,2723,638.26,03-01-2022,North,Electronics,,,,,,,,,,,
316,216,3,Tablet,2,746,170.75,20-10-2022,North,Electronics,,,,,,,,,,,
317,217,10,Laptop,5,3170,245.25,21-08-2024,West,Electronics,,,,,,,,,,,
318,218,6,Smartwatch,5,550,63.11,11-12-2023,East,Electronics,,,,,,,,,,,
319,219,3,Tablet,8,480,132.45,14-08-2022,North,Electronics,,,,,,,,,,,
320,220,1,Printer,4,3284,354.4,03-06-2024,East,Office,,,,,,,,,,,
321,221,6,Smartwatch,2,1748,183.75,23-01-2024,South,Electronics,,,,,,,,,,,
322,222,5,Headphones,8,824,240.84,20-11-2023,North,Accessories,,,,,,,,,,,
323,223,5,Headphones,4,1872,448.46,03-03-2022,North,Accessories,,,,,,,,,,,
324,224,3,Tablet,3,627,103.98,20-02-2024,West,Electronics,,,,,,,,,,,
325,225,4,Camera,9,5661,1104.02,09-08-2024,East,Electronics,,,,,,,,,,,
326,226,4,Camera,3,2910,765.47,19-06-2022,North,Electronics,,,,,,,,,,,
327,227,3,Tablet,9,9036,1087.46,01-09-2024,South,Electronics,,,,,,,,,,,
328,228,3,Tablet,5,4815,338.31,30-08-2024,West,Electronics,,,,,,,,,,,
329,229,2,Mouse,1,1187,206.28,12-08-2022,South,Accessories,,,,,,,,,,,
330,230,5,Headphones,3,3339,732.92,04-08-2022,East,Accessories,,,,,,,,,,,
331,231,3,Tablet,1,620,165.43,20-02-2024,East,Electronics,,,,,,,,,,,
332,232,4,Camera,5,2025,414.42,26-02-2023,West,Electronics,,,,,,,,,,,
333,233,1,Printer,5,3030,811.92,20-11-2024,East,Office,,,,,,,,,,,
334,234,6,Smartwatch,5,655,166.69,12-08-2023,North,Electronics,,,,,,,,,,,
335,235,1,Printer,2,2238,294.54,17-01-2022,West,Office,,,,,,,,,,,
336,236,8,Smartphone,8,3312,811.31,12-04-2023,South,Electronics,,,,,,,,,,,
337,237,1,Printer,9,9387,1271.64,26-07-2023,East,Office,,,,,,,,,,,
338,238,2,Mouse,6,5790,1285.21,01-01-2024,West,Accessories,,,,,,,,,,,
339,239,10,Laptop,6,2700,527.97,06-12-2023,South,Electronics,,,,,,,,,,,
340,240,6,Smartwatch,8,2072,555.06,05-12-2023,East,Electronics,,,,,,,,,,,
341,241,9,Keyboard,3,2991,716.54,27-10-2024,North,Accessories,,,,,,,,,,,
342,242,10,Laptop,6,5568,958.59,04-08-2024,East,Electronics,,,,,,,,,,,
343,243,6,Smartwatch,7,5509,1648.74,01-02-2023,North,Electronics,,,,,,,,,,,
344,244,1,Printer,7,5922,1323.1,02-06-2024,West,Office,,,,,,,,,,,
345,245,8,Smartphone,4,4380,362.81,28-04-2024,South,Electronics,,,,,,,,,,,
346,246,3,Tablet,5,1760,272.68,25-03-2022,South,Electronics,,,,,,,,,,,
347,247,5,Headphones,9,5571,1523.81,05-10-2024,North,Accessories,,,,,,,,,,,
348,248,3,Tablet,2,1082,182.1,19-12-2024,South,Electronics,,,,,,,,,,,
349,249,4,Camera,1,569,138.11,18-07-2022,East,Electronics,,,,,,,,,,,
350,250,2,Mouse,8,3416,697.42,11-06-2023,North,Accessories,,,,,,,,,,,
351,251,1,Printer,1,570,57.07,13-10-2024,West,Office,,,,,,,,,,,
352,252,7,Monitor,6,3300,386.92,07-08-2023,East,Accessories,,,,,,,,,,,
353,253,10,Laptop,8,2584,568.77,04-12-2022,South,Electronics,,,,,,,,,,,
354,254,7,Monitor,9,7650,2204.44,18-02-2024,South,Accessories,,,,,,,,,,,
355,255,5,Headphones,8,3600,272.51,05-12-2024,West,Accessories,,,,,,,,,,,
356,256,7,Monitor,6,846,190.87,15-12-2023,West,Accessories,,,,,,,,,,,
357,257,8,Smartphone,1,51,9.36,12-08-2023,West,Electronics,,,,,,,,,,,
358,258,6,Smartwatch,6,7056,586.91,20-05-2024,South,Electronics,,,,,,,,,,,
359,259,6,Smartwatch,2,384,38.41,05-06-2024,West,Electronics,,,,,,,,,,,
360,260,10,Laptop,8,2928,663.54,09-01-2022,South,Electronics,,,,,,,,,,,
361,261,4,Camera,7,1904,352.86,17-12-2023,West,Electronics,,,,,,,,,,,
362,262,3,Tablet,2,2314,312.07,08-09-2022,East,Electronics,,,,,,,,,,,
363,263,1,Printer,4,1028,192.13,22-01-2022,South,Office,,,,,,,,,,,
364,264,5,Headphones,9,8307,1326.23,04-09-2024,South,Accessories,,,,,,,,,,,
365,265,1,Printer,9,1539,203.54,20-01-2024,West,Office,,,,,,,,,,,
366,266,3,Tablet,7,2506,537.98,03-11-2022,West,Electronics,,,,,,,,,,,
367,267,8,Smartphone,6,5778,1232.54,03-07-2023,West,Electronics,,,,,,,,,,,
368,268,3,Tablet,9,10188,2165.78,25-01-2024,East,Electronics,,,,,,,,,,,
369,269,7,Monitor,1,952,157.7,11-05-2024,North,Accessories,,,,,,,,,,,
370,270,6,Smartwatch,8,3624,750.86,02-01-2024,West,Electronics,,,,,,,,,,,
371,271,9,Keyboard,8,7968,1551.12,24-02-2023,South,Accessories,,,,,,,,,,,
372,272,2,Mouse,2,1254,250.09,20-07-2024,South,Accessories,,,,,,,,,,,
373,273,1,Printer,3,705,196.05,14-06-2023,West,Office,,,,,,,,,,,
374,274,2,Mouse,1,916,223.5,10-04-2022,West,Accessories,,,,,,,,,,,
375,275,1,Printer,2,848,129.96,01-10-2024,North,Office,,,,,,,,,,,
376,276,7,Monitor,8,2240,313.17,10-05-2022,East,Accessories,,,,,,,,,,,
377,277,7,Monitor,1,940,120.35,28-01-2022,South,Accessories,,,,,,,,,,,
378,278,5,Headphones,5,1550,203.51,05-04-2023,West,Accessories,,,,,,,,,,,
379,279,9,Keyboard,7,2352,256.4,22-09-2023,South,Accessories,,,,,,,,,,,
380,280,6,Smartwatch,9,1638,183.75,29-08-2024,North,Electronics,,,,,,,,,,,
381,281,4,Camera,6,7164,1442.72,18-11-2023,North,Electronics,,,,,,,,,,,
382,282,2,Mouse,1,205,54.54,12-09-2023,East,Accessories,,,,,,,,,,,
383,283,9,Keyboard,2,766,49.23,26-05-2023,North,Accessories,,,,,,,,,,,
384,284,9,Keyboard,1,168,17.84,30-04-2023,North,Accessories,,,,,,,,,,,
385,285,2,Mouse,1,1058,207.55,01-11-2024,South,Accessories,,,,,,,,,,,
386,286,9,Keyboard,5,1455,423.81,06-05-2022,South,Accessories,,,,,,,,,,,
387,287,4,Camera,2,2224,364.04,10-05-2023,East,Electronics,,,,,,,,,,,
388,288,8,Smartphone,7,1400,80.49,04-11-2022,West,Electronics,,,,,,,,,,,
389,289,8,Smartphone,7,7567,2213.18,09-05-2022,East,Electronics,,,,,,,,,,,
390,290,3,Tablet,6,3396,987.68,07-11-2022,East,Electronics,,,,,,,,,,,
391,291,6,Smartwatch,2,704,135.63,11-08-2023,East,Electronics,,,,,,,,,,,
392,292,3,Tablet,9,7767,2172.19,21-10-2024,East,Electronics,,,,,,,,,,,
393,293,2,Mouse,5,2050,157.13,06-10-2024,West,Accessories,,,,,,,,,,,
394,294,7,Monitor,9,10458,2799.48,08-08-2023,North,Accessories,,,,,,,,,,,
395,295,4,Camera,4,4700,619.26,19-01-2022,South,Electronics,,,,,,,,,,,
396,296,8,Smartphone,2,892,222.51,30-04-2024,North,Electronics,,,,,,,,,,,
397,297,10,Laptop,8,6968,1479.09,26-12-2023,East,Electronics,,,,,,,,,,,
398,298,10,Laptop,7,1344,300.88,07-04-2024,North,Electronics,,,,,,,,,,,
399,299,4,Camera,1,354,65.99,18-10-2022,West,Electronics,,,,,,,,,,,
400,300,7,Monitor,3,3051,662.23,21-04-2024,South,Accessories,,,,,,,,,,,
401,301,4,Camera,3,402,106.87,26-03-2024,South,Electronics,,,,,,,,,,,
402,302,7,Monitor,5,3570,517.82,31-10-2022,North,Accessories,,,,,,,,,,,
403,303,9,Keyboard,7,3829,876.35,03-03-2023,North,Accessories,,,,,,,,,,,
404,304,2,Mouse,7,4676,242.64,03-02-2023,North,Accessories,,,,,,,,,,,
405,305,9,Keyboard,3,1119,317.36,15-04-2023,East,Accessories,,,,,,,,,,,
406,306,8,Smartphone,4,4228,764.3,09-05-2023,East,Electronics,,,,,,,,,,,
407,307,5,Headphones,8,1240,251.2,02-01-2022,North,Accessories,,,,,,,,,,,
